scenario,engine_id,unit,max_cycle,first_cycle,final_rul,avg_sensor_2,avg_sensor_3,avg_sensor_4,avg_sensor_7,avg_sensor_11,avg_sensor_12,avg_sensor_15,avg_sensor_20,avg_sensor_21,scenario_description,conditions,fault_modes,end_of_life_flag
FD001,FD001-E001,1,192,1,0,642.6210416666667,1589.485520833333,1407.2621354166668,553.4394270833333,47.5140625,521.4594270833334,8.436554687500001,38.84005208333333,23.306309895833333,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E002,2,287,1,0,642.4352264808363,1588.1819860627177,1404.2658536585366,553.8534843205575,47.38951219512195,521.8116027874564,8.423983275261325,38.90114982578397,23.338996864111497,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E003,3,179,1,0,642.5437430167598,1588.7150837988827,1405.6289944134078,553.8000558659219,47.42703910614525,521.7739664804469,8.430236312849162,38.88279329608939,23.3219312849162,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E004,4,189,1,0,642.662380952381,1590.5632804232805,1408.2539153439152,553.4430158730158,47.51513227513228,521.5010052910053,8.439302645502645,38.83026455026455,23.294501587301585,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E005,5,269,1,0,642.451970260223,1588.1532713754646,1404.87843866171,553.882342007435,47.40226765799256,521.8664312267658,8.425968029739776,38.8910780669145,23.336284386617102,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E006,6,188,1,0,642.9423404255319,1592.7062765957448,1413.8761170212767,552.7905319148936,47.71037234042553,520.9257978723405,8.45830585106383,38.72744680851064,23.23511595744681,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E007,7,259,1,0,642.5633204633205,1589.3278378378377,1406.577335907336,553.6503088803089,47.466563706563704,521.653474903475,8.433265250965253,38.862123552123556,23.31066756756757,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E008,8,150,1,0,642.9342,1593.0013999999999,1413.9699333333333,552.7426,47.7126,520.8988666666667,8.463234,38.72573333333333,23.228078,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E009,9,201,1,0,642.3967164179105,1588.3080597014925,1403.030646766169,554.0740298507463,47.343283582089555,522.031592039801,8.419437810945274,38.908756218905474,23.353425870646767,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
FD001,FD001-E010,10,222,1,0,642.4574324324324,1587.943963963964,1404.4915765765766,553.842072072072,47.398108108108104,521.7451351351351,8.423276576576576,38.90171171171171,23.343227477477477,"Sea level, HPC degradation",1 operating condition,1 fault mode,True
